date,address,value,cumulative_sum,chain,arkhamEntity,arkhamLabel,price
2024-01-12,1BoTSXbPJqept6saHPCW6U1Uj4RmVbEeWW,798.0,798.0,bitcoin,BlackRock,IBIT Bitcoin ETF,43419.0
2024-01-12,1C53EaKHgLCVftkuFGeXL7ubHcyhTWSSDd,796.6916379,796.6916379,bitcoin,BlackRock,IBIT Bitcoin ETF,43419.0
2020-09-08,1CFbvNRRkK5sWXz1tvjoPEjoA3ihJMQAc8,5.47E-6,5700.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2024-01-12,1CpEa1Rtp6eZA4SMyYgwj6ZAuCSz8TE7xr,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,43419.0
2020-09-08,1DU71GCckRFa6q4zr84mDG62gixSsw6ybS,5.47E-6,5800.000024,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1Dh5qdSdcdpPNBxY9ozpz7cd1qfDPebjTT,5.47E-6,587.9802619,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1DkYd6n6HaX6QgELnq3xPmNrRqR2yN7NbL,5.47E-6,5700.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2024-01-12,1EHpTzVBpMDJBBYouGMWN9tf5USsCFYQLs,798.0,798.0,bitcoin,BlackRock,IBIT Bitcoin ETF,43419.0
2020-09-08,1FVNNXmsbGXTxqxoaBt9moftpeYn2qQMhs,5.47E-6,5800.000024,bitcoin,Grayscale,Bitcoin Trust,10359.445
2024-01-12,1Fe3vCB4wWqPG8GrHwh92PcuAVL2omdym4,776.4338733,776.4338733,bitcoin,Grayscale,Bitcoin Trust,43419.0
2020-09-08,1GAZmhZdcdGuoA4Pnuh9iX5kjpiq4ENw5p,5.47E-6,5700.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1GbncYWHxawSmVFR7t2sxc6xfUi2dQH5Kt,500.0278526,2016.916549,bitcoin,Grayscale,Bitcoin Trust,10359.445
2024-01-12,1HcRMSRQ2y9cHXjnTfZcaf6zZis3ecsX6s,-1000.000213,0.0,bitcoin,Grayscale,Bitcoin Trust,43419.0
2020-09-08,1JAXANUtTPvM9piFrmbLYJC9DoQtteQ4Cq,5.47E-6,5699.990022,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1JHj3mpfhc8j9xpfyHJmLivcQMA7J8dA2i,5.47E-6,5700.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1PAawVDQeQPyFyZEasYKUuLtghkDHJn4nN,5.47E-6,5800.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2020-09-08,1QA21kFmwaES7w5KZsLwVi7HznLPBvX7R3,5.47E-6,5700.000016,bitcoin,Grayscale,Bitcoin Trust,10359.445
2024-01-12,32TiohXoCmHr87xVm3E9A3sLiWBJjYn1gf,2150.0,2150.0001,bitcoin,Fidelity,FBTC Bitcoin ETF,43419.0
2024-01-12,3A1mvU9GSc9cWQxicofHFBAKDGVyA3v5g4,43.72397058,43.72410058,bitcoin,Fidelity,FBTC Bitcoin ETF,43419.0
2024-01-12,3NpXph8WN1U9hwXjg1bRtzTff1tPR2Gpw4,2659.636764,3096.87858,bitcoin,Fidelity,FBTC Bitcoin ETF,43419.0
2023-02-13,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,5.47E-6,69370.17866,bitcoin,U.S. Government,Silk Road Individual X FBI Confiscated Funds,21636.0
2023-02-13,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,5.47E-6,94643.30606,bitcoin,U.S. Government,Bitfinex Hack Recovery (FBI),21636.0
2023-02-13,bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp,5.47E-6,49825.7238,bitcoin,U.S. Government,Silk Road DOJ Confiscated Funds,21636.0
2024-01-17,12NtPMpEhbgVBi4nnkevAGUNStKC3DWbc3,-975.0000438,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,12b2quNjdYy4LDmCu1y5yBQkvFLCiMBUTu,-975.0000438,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,12b4wrqVjUoRBrkpGMscXPA66FveY1TEeD,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,12kCiq8K8UQEid4RtQHRBeWc6cY6U2EMVg,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,12kkNndPhQgim8MmsHQ926XDChYJ38JSxM,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,13L5qGjseyegqst2kbcd8EuYxSXuTtNCjQ,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,13TkihECnvPbJMZ8y5Yxpf5aTpm3gnGHrd,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,13W5rzdJTdhvaLUHyAVs4eymYD13cwzvkX,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,141mse86EEdso41PJ7peRgYPvRwVuexcFD,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,15TdjMUfeRKMCQA3KdP2nJ33DUFzZ5jU4U,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,15W2tBP53NTuGAb2V2bAFfKwzAYE2rv7Ue,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,15epgoa7Pej8jX2H11rVGnxN4JzswCurwy,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,16uuoXdoHYxjGXv8thyws6cR2PXT7nKQbW,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,18hBqCTdofPbu6oymvwRWef7eKcTydcpNM,-578.4730729,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1955ZwgAeBa8WKC6cs51wLt7PUQeMVQ44r,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,19RkUi8DRtes7tzihDmZtT7Lpu3wHfXaqV,1000.0,1000.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,19ibnMQ8yW3hCLikCMB2E4ajmJyGtm7323,922.4191273,922.4191273,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,19o3A1oqEvDACxjHF41PGspZoXBnh4yjTG,1100.0,1100.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,1A5Ta1dChi5RM8vvtVW7CVCwinTjZb7bUe,1000.0,1000.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,1A7KVPGaz35eduTpsQUwsEJocax1qxNdSw,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
